Facets Selected,Facet Value,Year
7287,None,2025
3713,Books,2025
2642,Peer Reviewed Journals,2025
2096,Articles,2025
1826,Available in the Library,2025
1622,Full Text Online,2025
331,Reviews,2025
302,Journals,2025
284,book_chapters,2025
200,Newspaper Articles,2025
198,Audio-Visual,2025
198,magazinearticle,2025
177,open_access,2025
110,newsletterarticle,2025
63,videos,2025
59,reports,2025
54,Reference Entries,2025
47,archival_material_manuscripts,2025
44,Dissertations,2025
41,web_resources,2025
36,Government Documents,2025
28,Images,2025
26,Text Resources,2025
20,Conference Proceedings,2025
17,Databases,2025
15,audios,2025
15,datasets,2025
11,Other,2025
9,Maps,2025
7,Scores,2025
7,newspapers,2025
2,standards,2025
1,Books.,2025
